	S.Agona_03	S.Agona_01	S.Enteritidis_04	S.Agona_02	S.GoldCoast_02	S.Enteritidis_03	S.GoldCoast_03	S.Enteritidis_01	S.GoldCoast_01	S.Enteritidis_02
aaaT	f898b84c9a189cfd77f94b4e793ca653df10fc759eded889ec421b79d7e40f1e	f898b84c9a189cfd77f94b4e793ca653df10fc759eded889ec421b79d7e40f1e	e29eab19bf102877c11dd37c8be32334f4b7322cc3e5677fd0387e03000347bb	f898b84c9a189cfd77f94b4e793ca653df10fc759eded889ec421b79d7e40f1e	8f9d341670ad86271959cd620bc0a7665d4b89abf5611c2a9cabaf5a334c97fb	e29eab19bf102877c11dd37c8be32334f4b7322cc3e5677fd0387e03000347bb	8f9d341670ad86271959cd620bc0a7665d4b89abf5611c2a9cabaf5a334c97fb	e29eab19bf102877c11dd37c8be32334f4b7322cc3e5677fd0387e03000347bb	8f9d341670ad86271959cd620bc0a7665d4b89abf5611c2a9cabaf5a334c97fb	e29eab19bf102877c11dd37c8be32334f4b7322cc3e5677fd0387e03000347bb
aaeA_1	6a1bcf094a5d832dc2a03a12b650743c7a6f6844a5afed8763a1be44566af3be	6a1bcf094a5d832dc2a03a12b650743c7a6f6844a5afed8763a1be44566af3be	5e69953ecc3c7e070012f87296afc06088e88edee14a73dd68631cdba44590b8	6a1bcf094a5d832dc2a03a12b650743c7a6f6844a5afed8763a1be44566af3be	3456e0cffc4c878cff6231979bf13882d755d8f02563e1605ce3af8c283d691f	5e69953ecc3c7e070012f87296afc06088e88edee14a73dd68631cdba44590b8	3456e0cffc4c878cff6231979bf13882d755d8f02563e1605ce3af8c283d691f	5e69953ecc3c7e070012f87296afc06088e88edee14a73dd68631cdba44590b8	3456e0cffc4c878cff6231979bf13882d755d8f02563e1605ce3af8c283d691f	5e69953ecc3c7e070012f87296afc06088e88edee14a73dd68631cdba44590b8
aaeA_2	9550e8a28c8a054e56ab72b01c1d073ea6429718ecb1c257bf7f15dfde02de4f	9550e8a28c8a054e56ab72b01c1d073ea6429718ecb1c257bf7f15dfde02de4f	2c29fa04f5384354f51ba4c90a2f205a278317a25b592712e9901cd3edf163a3	9550e8a28c8a054e56ab72b01c1d073ea6429718ecb1c257bf7f15dfde02de4f	29626cc54de20d697df4d9991e5f530d33a3845836b729abc6ac39aa331b36a1	2c29fa04f5384354f51ba4c90a2f205a278317a25b592712e9901cd3edf163a3	29626cc54de20d697df4d9991e5f530d33a3845836b729abc6ac39aa331b36a1	2c29fa04f5384354f51ba4c90a2f205a278317a25b592712e9901cd3edf163a3	29626cc54de20d697df4d9991e5f530d33a3845836b729abc6ac39aa331b36a1	2c29fa04f5384354f51ba4c90a2f205a278317a25b592712e9901cd3edf163a3
aaeB_1	eebe0dd8821d995b0a28866e6ab30ec747b1f3767de02970a85440fb9d0a8f44	eebe0dd8821d995b0a28866e6ab30ec747b1f3767de02970a85440fb9d0a8f44	a3952ffcf2f7eb99ca19d9818207f13ef62dadc36e590a8bc774551eb2c21840	eebe0dd8821d995b0a28866e6ab30ec747b1f3767de02970a85440fb9d0a8f44	6956003911782465a8fb222583d6a33d1a2a1c58f998de6d45a055049946b2e0	a3952ffcf2f7eb99ca19d9818207f13ef62dadc36e590a8bc774551eb2c21840	6956003911782465a8fb222583d6a33d1a2a1c58f998de6d45a055049946b2e0	a3952ffcf2f7eb99ca19d9818207f13ef62dadc36e590a8bc774551eb2c21840	6956003911782465a8fb222583d6a33d1a2a1c58f998de6d45a055049946b2e0	a3952ffcf2f7eb99ca19d9818207f13ef62dadc36e590a8bc774551eb2c21840
aaeB_2	2079ce66b473971bea74c119d50cb57b3be9154e0ce2024bb1039804854105b4	2079ce66b473971bea74c119d50cb57b3be9154e0ce2024bb1039804854105b4	f548e50fb8a4ee48a062cf79cb2ab60006cf35f4fbf4c4cab6badbf2e89b98fa	2079ce66b473971bea74c119d50cb57b3be9154e0ce2024bb1039804854105b4	fdef8922b8d9ef6c281d30f093d0247bb2c4c04a0efb4d7c573e1e065796166d	f548e50fb8a4ee48a062cf79cb2ab60006cf35f4fbf4c4cab6badbf2e89b98fa	fdef8922b8d9ef6c281d30f093d0247bb2c4c04a0efb4d7c573e1e065796166d	f548e50fb8a4ee48a062cf79cb2ab60006cf35f4fbf4c4cab6badbf2e89b98fa	fdef8922b8d9ef6c281d30f093d0247bb2c4c04a0efb4d7c573e1e065796166d	f548e50fb8a4ee48a062cf79cb2ab60006cf35f4fbf4c4cab6badbf2e89b98fa
aaeX	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368	95a39387906b84b00f38371f5e64e3883aebbd400df2f8478d44bb9a58c20368
aas	d132f157b02a144be74f85f0a74f1865d961cd2e242a833b90dca88707604a4c	d132f157b02a144be74f85f0a74f1865d961cd2e242a833b90dca88707604a4c	cc73e5747b31ca749da4b8cacf4cb268a8c03c7fc50721ad69a12554ff6293fd	d132f157b02a144be74f85f0a74f1865d961cd2e242a833b90dca88707604a4c	33387738bfb13655d9e776570fc2c67449af245be2dad6114f7c7d8972c470e1	cc73e5747b31ca749da4b8cacf4cb268a8c03c7fc50721ad69a12554ff6293fd	33387738bfb13655d9e776570fc2c67449af245be2dad6114f7c7d8972c470e1	cc73e5747b31ca749da4b8cacf4cb268a8c03c7fc50721ad69a12554ff6293fd	33387738bfb13655d9e776570fc2c67449af245be2dad6114f7c7d8972c470e1	cc73e5747b31ca749da4b8cacf4cb268a8c03c7fc50721ad69a12554ff6293fd
aat	73c3f93e073637ea69e01603e2712b8f951911a005f91f1006b482806fa57a8b	73c3f93e073637ea69e01603e2712b8f951911a005f91f1006b482806fa57a8b	846d26f6e9016660bf6d9df976c348705dc8c0919ea364076ef4afbd680fc2bc	73c3f93e073637ea69e01603e2712b8f951911a005f91f1006b482806fa57a8b	f41821a432bc010f6513a1a8021f01d7ba7c77337d505beaa24ba25bdd98c95e	846d26f6e9016660bf6d9df976c348705dc8c0919ea364076ef4afbd680fc2bc	f41821a432bc010f6513a1a8021f01d7ba7c77337d505beaa24ba25bdd98c95e	846d26f6e9016660bf6d9df976c348705dc8c0919ea364076ef4afbd680fc2bc	f41821a432bc010f6513a1a8021f01d7ba7c77337d505beaa24ba25bdd98c95e	846d26f6e9016660bf6d9df976c348705dc8c0919ea364076ef4afbd680fc2bc
accA	a95943457603c502da5c840789536dd1f27ac872595bf1d85882d966fdf6e1e2	a95943457603c502da5c840789536dd1f27ac872595bf1d85882d966fdf6e1e2	b7141810a23fe6a9c5e4efc1b6ed844b9992fea321e8db67e9a1abbe39dccbf9	a95943457603c502da5c840789536dd1f27ac872595bf1d85882d966fdf6e1e2	dc320eb3abc2eb4e61a97457f283e121d7e087e9b0aee7d4a8a04f128af79cfa	b7141810a23fe6a9c5e4efc1b6ed844b9992fea321e8db67e9a1abbe39dccbf9	dc320eb3abc2eb4e61a97457f283e121d7e087e9b0aee7d4a8a04f128af79cfa	b7141810a23fe6a9c5e4efc1b6ed844b9992fea321e8db67e9a1abbe39dccbf9	dc320eb3abc2eb4e61a97457f283e121d7e087e9b0aee7d4a8a04f128af79cfa	b7141810a23fe6a9c5e4efc1b6ed844b9992fea321e8db67e9a1abbe39dccbf9
accB	139079583b212913bdc21ecd8e1965e1804d04746fbd4892278381764a965984	139079583b212913bdc21ecd8e1965e1804d04746fbd4892278381764a965984	b807e0223abaf01e6608066216fb3ac58d521d1ce2dc846931da18434926f02e	139079583b212913bdc21ecd8e1965e1804d04746fbd4892278381764a965984	b807e0223abaf01e6608066216fb3ac58d521d1ce2dc846931da18434926f02e	b807e0223abaf01e6608066216fb3ac58d521d1ce2dc846931da18434926f02e	b807e0223abaf01e6608066216fb3ac58d521d1ce2dc846931da18434926f02e	b807e0223abaf01e6608066216fb3ac58d521d1ce2dc846931da18434926f02e	b807e0223abaf01e6608066216fb3ac58d521d1ce2dc846931da18434926f02e	b807e0223abaf01e6608066216fb3ac58d521d1ce2dc846931da18434926f02e
